# year	specie1	specie2	specie3
2000	30e3	3e3		38300    
2001	37.2e3	6.1e3	48200 
2002	60.2e3	9.8e3	31600 
2003	77.3e3	36.2e3	38200
2004	36.3e3	69.3e3	30600
2005	20.6e3	31.7e3	49800
2006	18.1e3	19e3	38600  
2007	21.3e3	13e3	32300  
2008	22e3	8.3e3	43600   
2009	26.3e3	9.1e3	32100 
2010	27.1e3	7.3e3	36000 
2011	30.3e3	8e3	36800   
2012	67e3	12.3e3	33800  
2013	76.6e3	19.6e3	30900
2014	62.3e3	36.7e3	49300
2015	19.6e3	61.1e3	39000
2016	11.2e3	29.7e3	36700
2017	7.6e3	16.8e3	41800 
2018	13.6e3	9.7e3	33300 
2019	16.2e3	10.1e3	31300
2020	23.7e3	8.6e3	47300 
