Tipo;Categoría;Nombre;Dirección;C.Postal;Provincia;Municipio;Localidad;Nucleo;Teléfono 1;Teléfono 2;Teléfono 3;Fax;Email;web;Q Calidad
Restaurante / Bar;2;CATORCE;VARA DEL REY, 5;5001;Ávila;Ávila;AVILA;AVILA;920255061;652632173;;;angela2168@gmail.com;;
Restaurante;2;EL TORREON;C/ EL TOSTADO, Nº 1;5001;Ávila;Ávila;AVILA;AVILA;920213171;;;920213171;;;
Restaurante / Bar;2;ESTACION DE AVILA;Paseo DE LA ESTACION S/N;5001;Ávila;Ávila;AVILA;AVILA;606325644;;;;chalao2007@hotmail.com;;
Restaurante;2;EL RUEDO;ENRIQUE LARRETA, 7;5001;Ávila;Ávila;AVILA;;920213198;;;;;;
Restaurante;1;CASA PATAS (CIERRE TEMPORAL);CARRETERA DE SALAMANCA, 5;5002;Ávila;Ávila;AVILA;AVILA;920211180;920212449;;;;;
Restaurante;2;EL RINCON;ZURRAQUIN, PLAZA, 6;5001;Ávila;Ávila;AVILA;AVILA;920213152;;;920225101;elrincon@plaza-zurraquin.com;;
Restaurante;1;DON CAMILO;VALLESPIN, 7;5001;Ávila;Ávila;AVILA;AVILA;920213140;;;;;;
Restaurante;2;MESON DEL RASTRO;RASTRO, PLAZA, 1;5001;Ávila;Ávila;AVILA;AVILA;920211218;920211219;;920251626;;;
Restaurante;2;LA PINILLA;FIGONES, 1;5200;Ávila;Arévalo;AREVALO;AREVALO;920300063;920300385;;;;;
Restaurante;2;CHIVIS;CALVO SOTELO, 10;5500;Ávila;Piedrahíta;PIEDRAHITA;;920360036;;;;;;
Restaurante;1;ARGIMIRA DEL MAZO;BUEN JUEZ, 1;5500;Ávila;Piedrahíta;PIEDRAHITA;;920360255;;;;;;
Restaurante / Bar;1;SOL;VASCO DE QUIROGA, 1;5005;Ávila;Ávila;AVILA;AVILA;920226424;;;;;;
Restaurante;1;ZAMORANO;EL TOSTADO, 6;5001;Ávila;Ávila;AVILA;;920212487;;;;;;
Restaurante;1;MESON DEL MORAÑEGO;C/ CALZADA, 42;5350;Ávila;San Pedro del Arroyo;SAN PEDRO DEL ARROYO;SAN PEDRO DEL ARROYO;625492055;;;;;;
Restaurante;2;MESON EL SOL;HORNOS CALEROS, 25;5003;Ávila;Ávila;AVILA;AVILA;920220211;920221266;;920224113;;;
Restaurante;2;MESON DEL PUENTE;CTRA. CANDELEDA, 13;5400;Ávila;Arenas de San Pedro;ARENAS DE SAN PEDRO;;920370274;;;;elpuente@mailpersonal.com;;
Restaurante;2;MONTECARLO;GARCIA REAL, 22;5230;Ávila;Navas del Marqués (Las);NAVAS DEL MARQUES (LAS);;918970481;;;;;;
Restaurante;2;EL CORTIJO DE LA FLOR;COLONIA ARROYO LOBO,C-501,KM. 79,7;5430;Ávila;Adrada (La);ADRADA (LA);ADRADA (LA);918670016;;;;;;
Restaurante / Bar;1;TRASTÁMARA;AVDA. CASTILLA Y LEON,  49;5440;Ávila;Piedralaves;PIEDRALAVES;PIEDRALAVES;918666400;639120014;913520140;;;;
Restaurante;1;EL RANCHO;CTRA. AVILA-TOLEDO, S/N;5002;Ávila;Ávila;AVILA;AVILA;920220002;;;;;;
Restaurante;2;EL CRUCE;VIRGEN, 11;5294;Ávila;Herradón de Pinares;CAÑADA (LA);;920272009;920272434;;;;;
Restaurante;1;APOLO;CTRA. SALVADIOS, S/N;5310;Ávila;Fontiveros;FONTIVEROS;;920244217;;;;;;
Restaurante;1;MESON GREDOS;COMUNEROS DE CASTILLA, 4;5001;Ávila;Ávila;AVILA;;920211758;;;;;;
Restaurante;2;GOYA;AVDA. EMILIO ROMERO, 33;5200;Ávila;Arévalo;AREVALO;AREVALO;920300362;;;;;;
Restaurante;3;MAGALIA;CTRA. MADRID, S/N;5230;Ávila;Navas del Marqués (Las);NAVAS DEL MARQUES (LAS);NAVAS DEL MARQUES (LAS);918972449;;;;;;
Restaurante;2;BELLAS VISTAS;CTRA. PLASENCIA, KM. 81;5430;Ávila;Adrada (La);ADRADA (LA);;918670710;;;;;;
Restaurante;2;EL ALAMILLO;EXTRAMUROS, 64;5500;Ávila;Piedrahíta;PIEDRAHITA;;920360365;;;;;;
Restaurante;1;GREDOS;AVDA. CASTILLA Y LEON, 35;5430;Ávila;Adrada (La);ADRADA (LA);ADRADA (LA);918670728;;;;;;
Restaurante;2;GRAN DUQUE;PASTELERIA, 17;5500;Ávila;Piedrahíta;PIEDRAHITA;PIEDRAHITA;920360830;;;;;;
Restaurante;1;MESON EL TRABUCO;LOS MARTIRES, 5;5416;Ávila;Arenal (El);ARENAL (EL);ARENAL (EL);920375066;;;;;;
Restaurante;1;GREDOS;TRAVESIA, 2;5417;Ávila;Guisando;GUISANDO;;920370912;;;;;;
